experiment,region,context_mode,context_size,model,base_url,requests,ttft_p50_s,ttft_p95_s,ttft_mean_s,total_p50_s,total_p95_s,total_mean_s,completion_tokens_mean,request_bytes_mean
dense_scale_qwen3_vl_8b_local,local,full_history,1,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.022869732696563002,0.022869732696563002,0.022869732696563002,0.08333440497517501,0.08333440497517501,0.08333440497517501,8.0,230080.0
dense_scale_qwen3_vl_8b_local,local,full_history,2,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.261931954883039,0.261931954883039,0.261931954883039,0.324803217779845,0.324803217779845,0.324803217779845,9.0,457341.0
dense_scale_qwen3_vl_8b_local,local,full_history,3,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.282985926605761,0.282985926605761,0.282985926605761,0.34699533274397204,0.34699533274397204,0.34699533274397204,9.0,682292.0
dense_scale_qwen3_vl_8b_local,local,full_history,4,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.27168766222894103,0.27168766222894103,0.27168766222894103,0.336878885049372,0.336878885049372,0.336878885049372,9.0,919334.0
dense_scale_qwen3_vl_8b_local,local,full_history,5,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.280986660160124,0.280986660160124,0.280986660160124,0.34599659219384105,0.34599659219384105,0.34599659219384105,9.0,1137989.0
dense_scale_qwen3_vl_8b_local,local,full_history,6,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.29518201714381503,0.29518201714381503,0.29518201714381503,0.35958083998411805,0.35958083998411805,0.35958083998411805,9.0,1366721.0
dense_scale_qwen3_vl_8b_local,local,full_history,7,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.29651753976941103,0.29651753976941103,0.29651753976941103,0.36314508784562305,0.36314508784562305,0.36314508784562305,9.0,1600010.0
dense_scale_qwen3_vl_8b_local,local,full_history,8,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.312941264826804,0.312941264826804,0.312941264826804,0.38001508684828805,0.38001508684828805,0.38001508684828805,9.0,1809700.0
dense_scale_qwen3_vl_8b_local,local,full_history,9,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.32270003389567103,0.32270003389567103,0.32270003389567103,0.390798341948539,0.390798341948539,0.390798341948539,9.0,2035544.0
dense_scale_qwen3_vl_8b_local,local,full_history,10,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.33091652486473305,0.33091652486473305,0.33091652486473305,0.39980649109929806,0.39980649109929806,0.39980649109929806,9.0,2220128.0
dense_scale_qwen3_vl_8b_local,local,full_history,11,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.332805048674345,0.332805048674345,0.332805048674345,0.40184370102360806,0.40184370102360806,0.40184370102360806,9.0,2381255.0
dense_scale_qwen3_vl_8b_local,local,full_history,12,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.349214124027639,0.349214124027639,0.349214124027639,0.41988433804363,0.41988433804363,0.41988433804363,9.0,2544582.0
dense_scale_qwen3_vl_8b_local,local,full_history,13,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.356374187860637,0.356374187860637,0.356374187860637,0.42737268004566403,0.42737268004566403,0.42737268004566403,9.0,2707529.0
dense_scale_qwen3_vl_8b_local,local,full_history,14,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.361863336991518,0.361863336991518,0.361863336991518,0.43438199814409,0.43438199814409,0.43438199814409,9.0,2868758.0
dense_scale_qwen3_vl_8b_local,local,full_history,15,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.369805085007101,0.369805085007101,0.369805085007101,0.44200273789465405,0.44200273789465405,0.44200273789465405,9.0,3029661.0
dense_scale_qwen3_vl_8b_local,local,full_history,16,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.37482093367725605,0.37482093367725605,0.37482093367725605,0.44778040098026306,0.44778040098026306,0.44778040098026306,9.0,3200493.0
dense_scale_qwen3_vl_8b_local,local,full_history,17,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.38391211722046104,0.38391211722046104,0.38391211722046104,0.45730014424771004,0.45730014424771004,0.45730014424771004,9.0,3371112.0
dense_scale_qwen3_vl_8b_local,local,full_history,18,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.389319186098873,0.389319186098873,0.389319186098873,0.46490194275975205,0.46490194275975205,0.46490194275975205,9.0,3481614.0
dense_scale_qwen3_vl_8b_local,local,full_history,19,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.39758346090093205,0.39758346090093205,0.39758346090093205,0.47235467005521004,0.47235467005521004,0.47235467005521004,9.0,3550978.0
dense_scale_qwen3_vl_8b_local,local,full_history,20,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.42310954397544204,0.42310954397544204,0.42310954397544204,0.49887800822034406,0.49887800822034406,0.49887800822034406,9.0,3754660.0
dense_scale_qwen3_vl_8b_local,local,full_history,21,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.40668447688221904,0.40668447688221904,0.40668447688221904,0.48340939404442906,0.48340939404442906,0.48340939404442906,9.0,3923990.0
dense_scale_qwen3_vl_8b_local,local,full_history,22,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.421694134827703,0.421694134827703,0.421694134827703,0.49956718785688203,0.49956718785688203,0.49956718785688203,9.0,4127279.0
dense_scale_qwen3_vl_8b_local,local,full_history,23,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.426237624138593,0.426237624138593,0.426237624138593,0.504565961193293,0.504565961193293,0.504565961193293,9.0,4301179.0
dense_scale_qwen3_vl_8b_local,local,full_history,24,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.44927327800542105,0.44927327800542105,0.44927327800542105,0.528323358856141,0.528323358856141,0.528323358856141,9.0,4491527.0
dense_scale_qwen3_vl_8b_local,local,full_history,25,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.45050188014283704,0.45050188014283704,0.45050188014283704,0.530053405091166,0.530053405091166,0.530053405091166,9.0,4737676.0
dense_scale_qwen3_vl_8b_local,local,full_history,26,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.452496149111539,0.452496149111539,0.452496149111539,0.533023830037564,0.533023830037564,0.533023830037564,9.0,4988357.0
dense_scale_qwen3_vl_8b_local,local,full_history,27,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.46134646190330303,0.46134646190330303,0.46134646190330303,0.5425001801922911,0.5425001801922911,0.5425001801922911,9.0,5210936.0
dense_scale_qwen3_vl_8b_local,local,full_history,28,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.48722004378214406,0.48722004378214406,0.48722004378214406,0.5693906205706291,0.5693906205706291,0.5693906205706291,9.0,5453652.0
dense_scale_qwen3_vl_8b_local,local,full_history,29,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.48785764956846805,0.48785764956846805,0.48785764956846805,0.570730671752244,0.570730671752244,0.570730671752244,9.0,5696918.0
dense_scale_qwen3_vl_8b_local,local,full_history,30,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.49499786924570804,0.49499786924570804,0.49499786924570804,0.57906130887568,0.57906130887568,0.57906130887568,9.0,5942974.0
dense_scale_qwen3_vl_8b_local,local,full_history,31,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.503748971968889,0.503748971968889,0.503748971968889,0.5890064970590171,0.5890064970590171,0.5890064970590171,9.0,6176181.0
dense_scale_qwen3_vl_8b_local,local,full_history,32,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.519082556013017,0.519082556013017,0.519082556013017,0.604078856296837,0.604078856296837,0.604078856296837,9.0,6427924.0
dense_scale_qwen3_vl_8b_local,local,full_history,33,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.523965475149452,0.523965475149452,0.523965475149452,0.6099516171962021,0.6099516171962021,0.6099516171962021,9.0,6652062.0
dense_scale_qwen3_vl_8b_local,local,full_history,34,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.546114607714116,0.546114607714116,0.546114607714116,0.6325079686939711,0.6325079686939711,0.6325079686939711,9.0,6870624.0
dense_scale_qwen3_vl_8b_local,local,full_history,35,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.5455918828956781,0.5455918828956781,0.5455918828956781,0.632593262940645,0.632593262940645,0.632593262940645,9.0,7094796.0
dense_scale_qwen3_vl_8b_local,local,full_history,36,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.548926670104265,0.548926670104265,0.548926670104265,0.636668369174003,0.636668369174003,0.636668369174003,9.0,7315268.0
dense_scale_qwen3_vl_8b_local,local,full_history,37,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.7752665597945451,0.7752665597945451,0.7752665597945451,0.8640662659890951,0.8640662659890951,0.8640662659890951,9.0,7458473.0
dense_scale_qwen3_vl_8b_local,local,full_history,38,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.5732585140503941,0.5732585140503941,0.5732585140503941,0.66254609497264,0.66254609497264,0.66254609497264,9.0,7598979.0
dense_scale_qwen3_vl_8b_local,local,full_history,39,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.583814342040568,0.583814342040568,0.583814342040568,0.674050669185817,0.674050669185817,0.674050669185817,9.0,7784677.0
dense_scale_qwen3_vl_8b_local,local,full_history,40,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.58520464412868,0.58520464412868,0.58520464412868,0.675334468018263,0.675334468018263,0.675334468018263,9.0,7960678.0
dense_scale_qwen3_vl_8b_local,local,full_history,41,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.595945609733462,0.595945609733462,0.595945609733462,0.6872974387370051,0.6872974387370051,0.6872974387370051,9.0,8128615.0
dense_scale_qwen3_vl_8b_local,local,full_history,42,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.601535042282193,0.601535042282193,0.601535042282193,0.6931562069803471,0.6931562069803471,0.6931562069803471,9.0,8359548.0
dense_scale_qwen3_vl_8b_local,local,full_history,43,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.618508848827332,0.618508848827332,0.618508848827332,0.7113919081166381,0.7113919081166381,0.7113919081166381,9.0,8587531.0
dense_scale_qwen3_vl_8b_local,local,full_history,44,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.630057827103883,0.630057827103883,0.630057827103883,0.7238976401276881,0.7238976401276881,0.7238976401276881,9.0,8812667.0
dense_scale_qwen3_vl_8b_local,local,full_history,45,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.643069782759994,0.643069782759994,0.643069782759994,0.737684058956801,0.737684058956801,0.737684058956801,9.0,9030593.0
dense_scale_qwen3_vl_8b_local,local,full_history,46,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.634798150043934,0.634798150043934,0.634798150043934,0.7273500082083041,0.7273500082083041,0.7273500082083041,9.0,9243755.0
dense_scale_qwen3_vl_8b_local,local,full_history,47,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.6385297928936781,0.6385297928936781,0.6385297928936781,0.7344745988957581,0.7344745988957581,0.7344745988957581,9.0,9448618.0
dense_scale_qwen3_vl_8b_local,local,full_history,48,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.655315692070871,0.655315692070871,0.655315692070871,0.7526424392126501,0.7526424392126501,0.7526424392126501,9.0,9663806.0
dense_scale_qwen3_vl_8b_local,local,full_history,49,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.6561082843691111,0.6561082843691111,0.6561082843691111,0.753472607117146,0.753472607117146,0.753472607117146,10.0,9911720.0
dense_scale_qwen3_vl_8b_local,local,full_history,50,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.6759528778493401,0.6759528778493401,0.6759528778493401,0.7744914768263691,0.7744914768263691,0.7744914768263691,9.0,10116448.0
dense_scale_qwen3_vl_8b_local,local,full_history,51,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.703012397047132,0.703012397047132,0.703012397047132,0.801873315125703,0.801873315125703,0.801873315125703,9.0,10299126.0
dense_scale_qwen3_vl_8b_local,local,full_history,52,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.7042009690776461,0.7042009690776461,0.7042009690776461,0.804347066674381,0.804347066674381,0.804347066674381,9.0,10584055.0
dense_scale_qwen3_vl_8b_local,local,full_history,53,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.7164896400645371,0.7164896400645371,0.7164896400645371,0.8171651517041021,0.8171651517041021,0.8171651517041021,9.0,10876368.0
