experiment,region,context_mode,context_size,model,base_url,requests,ttft_p50_s,ttft_p95_s,ttft_mean_s,total_p50_s,total_p95_s,total_mean_s,completion_tokens_mean,request_bytes_mean
dense_vs_moe_qwen3_vl_30b_a3b_moe_local,local,full_history,1,Qwen/Qwen3-VL-30B-A3B-Instruct,http://localhost:8000/v1,1,0.07982526486739501,0.07982526486739501,0.07982526486739501,0.12089254893362501,0.12089254893362501,0.12089254893362501,9.0,230080.0
dense_vs_moe_qwen3_vl_30b_a3b_moe_local,local,full_history,2,Qwen/Qwen3-VL-30B-A3B-Instruct,http://localhost:8000/v1,1,0.56985809514299,0.56985809514299,0.56985809514299,0.6111372811719771,0.6111372811719771,0.6111372811719771,9.0,457341.0
dense_vs_moe_qwen3_vl_30b_a3b_moe_local,local,full_history,3,Qwen/Qwen3-VL-30B-A3B-Instruct,http://localhost:8000/v1,1,0.441572040319442,0.441572040319442,0.441572040319442,0.48319789301604005,0.48319789301604005,0.48319789301604005,9.0,682292.0
dense_vs_moe_qwen3_vl_30b_a3b_moe_local,local,full_history,4,Qwen/Qwen3-VL-30B-A3B-Instruct,http://localhost:8000/v1,1,0.49886794108897403,0.49886794108897403,0.49886794108897403,0.543290869798511,0.543290869798511,0.543290869798511,9.0,919334.0
dense_vs_moe_qwen3_vl_30b_a3b_moe_local,local,full_history,5,Qwen/Qwen3-VL-30B-A3B-Instruct,http://localhost:8000/v1,1,0.5467204391025,0.5467204391025,0.5467204391025,0.5889223502017551,0.5889223502017551,0.5889223502017551,9.0,1137989.0
dense_vs_moe_qwen3_vl_30b_a3b_moe_local,local,full_history,6,Qwen/Qwen3-VL-30B-A3B-Instruct,http://localhost:8000/v1,1,0.613102281000465,0.613102281000465,0.613102281000465,0.654031082987785,0.654031082987785,0.654031082987785,9.0,1366721.0
dense_vs_moe_qwen3_vl_30b_a3b_moe_local,local,full_history,7,Qwen/Qwen3-VL-30B-A3B-Instruct,http://localhost:8000/v1,1,0.6736269174143671,0.6736269174143671,0.6736269174143671,0.7166868313215671,0.7166868313215671,0.7166868313215671,9.0,1600010.0
dense_vs_moe_qwen3_vl_30b_a3b_moe_local,local,full_history,8,Qwen/Qwen3-VL-30B-A3B-Instruct,http://localhost:8000/v1,1,0.783639138098806,0.783639138098806,0.783639138098806,0.8266723100095981,0.8266723100095981,0.8266723100095981,9.0,1809700.0
dense_vs_moe_qwen3_vl_30b_a3b_moe_local,local,full_history,9,Qwen/Qwen3-VL-30B-A3B-Instruct,http://localhost:8000/v1,1,0.857256598304957,0.857256598304957,0.857256598304957,0.903150564059615,0.903150564059615,0.903150564059615,9.0,2035544.0
dense_vs_moe_qwen3_vl_30b_a3b_moe_local,local,full_history,10,Qwen/Qwen3-VL-30B-A3B-Instruct,http://localhost:8000/v1,1,0.9027271564118561,0.9027271564118561,0.9027271564118561,0.9469476193189621,0.9469476193189621,0.9469476193189621,9.0,2220128.0
