experiment,region,context_mode,context_size,model,base_url,requests,ttft_p50_s,ttft_p95_s,ttft_mean_s,total_p50_s,total_p95_s,total_mean_s,completion_tokens_mean,request_bytes_mean
dense_vs_moe_qwen3_vl_32b_dense_local,local,full_history,1,Qwen/Qwen3-VL-32B-Instruct,http://localhost:8000/v1,1,0.073877959977835,0.073877959977835,0.073877959977835,0.197104065679013,0.197104065679013,0.197104065679013,10.0,230080.0
dense_vs_moe_qwen3_vl_32b_dense_local,local,full_history,2,Qwen/Qwen3-VL-32B-Instruct,http://localhost:8000/v1,1,0.43237373232841403,0.43237373232841403,0.43237373232841403,0.557636637240648,0.557636637240648,0.557636637240648,9.0,457341.0
dense_vs_moe_qwen3_vl_32b_dense_local,local,full_history,3,Qwen/Qwen3-VL-32B-Instruct,http://localhost:8000/v1,1,0.512225364800542,0.512225364800542,0.512225364800542,0.638913921080529,0.638913921080529,0.638913921080529,10.0,682292.0
dense_vs_moe_qwen3_vl_32b_dense_local,local,full_history,4,Qwen/Qwen3-VL-32B-Instruct,http://localhost:8000/v1,1,0.5583685631863771,0.5583685631863771,0.5583685631863771,0.6857650782912971,0.6857650782912971,0.6857650782912971,10.0,919334.0
dense_vs_moe_qwen3_vl_32b_dense_local,local,full_history,5,Qwen/Qwen3-VL-32B-Instruct,http://localhost:8000/v1,1,0.656098545063287,0.656098545063287,0.656098545063287,0.7835447629913681,0.7835447629913681,0.7835447629913681,10.0,1137989.0
dense_vs_moe_qwen3_vl_32b_dense_local,local,full_history,6,Qwen/Qwen3-VL-32B-Instruct,http://localhost:8000/v1,1,0.738076459150761,0.738076459150761,0.738076459150761,0.8631072291173041,0.8631072291173041,0.8631072291173041,10.0,1366721.0
dense_vs_moe_qwen3_vl_32b_dense_local,local,full_history,7,Qwen/Qwen3-VL-32B-Instruct,http://localhost:8000/v1,1,0.7717804689891631,0.7717804689891631,0.7717804689891631,0.9007622422650451,0.9007622422650451,0.9007622422650451,10.0,1600010.0
dense_vs_moe_qwen3_vl_32b_dense_local,local,full_history,8,Qwen/Qwen3-VL-32B-Instruct,http://localhost:8000/v1,1,0.866614986211061,0.866614986211061,0.866614986211061,0.9966578548774121,0.9966578548774121,0.9966578548774121,8.0,1809700.0
dense_vs_moe_qwen3_vl_32b_dense_local,local,full_history,9,Qwen/Qwen3-VL-32B-Instruct,http://localhost:8000/v1,1,0.9477882869541641,0.9477882869541641,0.9477882869541641,1.078652573749423,1.078652573749423,1.078652573749423,8.0,2035544.0
dense_vs_moe_qwen3_vl_32b_dense_local,local,full_history,10,Qwen/Qwen3-VL-32B-Instruct,http://localhost:8000/v1,1,0.9862144938670091,0.9862144938670091,0.9862144938670091,1.116926121059805,1.116926121059805,1.116926121059805,8.0,2220128.0
