experiment,region,context_mode,context_size,model,base_url,requests,ttft_p50_s,ttft_p95_s,ttft_mean_s,total_p50_s,total_p95_s,total_mean_s,completion_tokens_mean,request_bytes_mean
screenshot_history_full_local,local,full_history,1,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.024224912282079,0.024224912282079,0.024224912282079,0.086431266274303,0.086431266274303,0.086431266274303,8.0,230080.0
screenshot_history_full_local,local,full_history,2,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.267253269907087,0.267253269907087,0.267253269907087,0.331533370073884,0.331533370073884,0.331533370073884,9.0,457341.0
screenshot_history_full_local,local,full_history,3,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.254199280869215,0.254199280869215,0.254199280869215,0.320407860912382,0.320407860912382,0.320407860912382,9.0,682292.0
screenshot_history_full_local,local,full_history,4,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.28674131585285,0.28674131585285,0.28674131585285,0.353266550227999,0.353266550227999,0.353266550227999,9.0,919334.0
screenshot_history_full_local,local,full_history,5,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.2782569588162,0.2782569588162,0.2782569588162,0.345667627174407,0.345667627174407,0.345667627174407,9.0,1137989.0
screenshot_history_full_local,local,full_history,6,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.293255710043013,0.293255710043013,0.293255710043013,0.358665142673999,0.358665142673999,0.358665142673999,9.0,1366721.0
screenshot_history_full_local,local,full_history,7,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.305900152307003,0.305900152307003,0.305900152307003,0.374540000222623,0.374540000222623,0.374540000222623,9.0,1600010.0
screenshot_history_full_local,local,full_history,8,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.312975094188004,0.312975094188004,0.312975094188004,0.38175097387284,0.38175097387284,0.38175097387284,9.0,1809700.0
screenshot_history_full_local,local,full_history,9,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.316588670946657,0.316588670946657,0.316588670946657,0.387092166114598,0.387092166114598,0.387092166114598,9.0,2035544.0
screenshot_history_full_local,local,full_history,10,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.336625915952026,0.336625915952026,0.336625915952026,0.407554703298956,0.407554703298956,0.407554703298956,9.0,2220128.0
screenshot_history_full_local,local,full_history,11,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.312648463994264,0.312648463994264,0.312648463994264,0.384541259147226,0.384541259147226,0.384541259147226,9.0,2381255.0
screenshot_history_full_local,local,full_history,12,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.346843942068517,0.346843942068517,0.346843942068517,0.41896388027817,0.41896388027817,0.41896388027817,9.0,2544582.0
screenshot_history_full_local,local,full_history,13,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.346229679882526,0.346229679882526,0.346229679882526,0.418880304787308,0.418880304787308,0.418880304787308,9.0,2707529.0
screenshot_history_full_local,local,full_history,14,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.354156280867755,0.354156280867755,0.354156280867755,0.42765505425632,0.42765505425632,0.42765505425632,9.0,2868758.0
screenshot_history_full_local,local,full_history,15,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.374034401029348,0.374034401029348,0.374034401029348,0.448049302212893,0.448049302212893,0.448049302212893,9.0,3029661.0
screenshot_history_full_local,local,full_history,16,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.38322259997949,0.38322259997949,0.38322259997949,0.45820710202679,0.45820710202679,0.45820710202679,9.0,3200493.0
screenshot_history_full_local,local,full_history,17,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.374906393699348,0.374906393699348,0.374906393699348,0.450278485659509,0.450278485659509,0.450278485659509,9.0,3371112.0
screenshot_history_full_local,local,full_history,18,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.381367314141243,0.381367314141243,0.381367314141243,0.457763582933694,0.457763582933694,0.457763582933694,9.0,3481614.0
screenshot_history_full_local,local,full_history,19,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.396367059089243,0.396367059089243,0.396367059089243,0.473860821221023,0.473860821221023,0.473860821221023,9.0,3550978.0
screenshot_history_full_local,local,full_history,20,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.408719974104315,0.408719974104315,0.408719974104315,0.486973844002932,0.486973844002932,0.486973844002932,9.0,3754660.0
screenshot_history_full_local,local,full_history,21,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.43078666832298,0.43078666832298,0.43078666832298,0.509612184949219,0.509612184949219,0.509612184949219,9.0,3923990.0
screenshot_history_full_local,local,full_history,22,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.418385104741901,0.418385104741901,0.418385104741901,0.497755850665271,0.497755850665271,0.497755850665271,9.0,4127279.0
screenshot_history_full_local,local,full_history,23,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.436945050023496,0.436945050023496,0.436945050023496,0.517274783924222,0.517274783924222,0.517274783924222,9.0,4301179.0
screenshot_history_full_local,local,full_history,24,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.452354999724775,0.452354999724775,0.452354999724775,0.5335956597700711,0.5335956597700711,0.5335956597700711,9.0,4491527.0
screenshot_history_full_local,local,full_history,25,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.452558971010148,0.452558971010148,0.452558971010148,0.5341074829921121,0.5341074829921121,0.5341074829921121,9.0,4737676.0
screenshot_history_full_local,local,full_history,26,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.452467339113354,0.452467339113354,0.452467339113354,0.5351333660073571,0.5351333660073571,0.5351333660073571,9.0,4988357.0
screenshot_history_full_local,local,full_history,27,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.482864338438957,0.482864338438957,0.482864338438957,0.5662438203580671,0.5662438203580671,0.5662438203580671,9.0,5210936.0
screenshot_history_full_local,local,full_history,28,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.490327981300652,0.490327981300652,0.490327981300652,0.575052365195006,0.575052365195006,0.575052365195006,9.0,5453652.0
screenshot_history_full_local,local,full_history,29,Qwen/Qwen3-VL-8B-Instruct,http://localhost:8000/v1,1,0.478941837791353,0.478941837791353,0.478941837791353,0.563709029927849,0.563709029927849,0.563709029927849,9.0,5696918.0
